Project ID,Project Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR251,Glasscock Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347614,0,0,0,0,0,0
ACR252,EOS ACR 252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140736,0,0,0,0,0,0
ACR253,EOS ACR 253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135017,0,0,0,0,0,0
ACR254,Wabashco Clean Sweep 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39036,0,0,0,0,0,0
ACR255,Finite Carbon - Colville IFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12163578,172632,0,0,0,685955
ACR256,Finite Carbon - Tennessee River Gorge Trust IFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272988,0,25684,0,24082,13539,0
ACR257,Finite Carbon - Cook's Branch Conservancy IFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180282,0,0
ACR258,EOS ARB ODS 2013-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR259,Homestead Green Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11533,6721,5491,8029,9205,11091
ACR260,Warm Springs Phase I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813212,0,439432,0,22696
ACR261,Replacement of SF6 as a Cover Gas at US Magnesium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152040,0,0,0,0,0,0
ACR262,Bewley Ranches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546264,0,0,170139,0,0,0
ACR263,"Truck Stop Electrification, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657,0,0,0,0,0,0
ACR264,"Truck Stop Electrification, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0
ACR265,Green Assets - Lukens Avoided Conversion Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199588,0,29344,17192,18351,19587
ACR266,Green Assets - Milbury Avoided Conversion Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440786,302260,210635,22175,19910,18624
ACR267,Blue Source - Powellton Improved Forest Management Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251198,0,189132,86201,108814
ACR268,Green Assets - HMWCF-I Avoided Conversion Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729216,813211,797716,701479,675257
ACR269,Green Assets - HMWCF-II Avoided Conversion Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548909,343165,343195,355488
ACR270,Green Assets - HMWCF-III Avoided Conversion Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
